07.06.2018 Update to AdvMAME (0.106) core by @Fran_Tron & @theretroist

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  AdvMAME core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

default 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO H

puckman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
puckmana 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
puckmanf 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
puckmanh 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pacman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pacmanf 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
puckmod 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pacmod 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
newpuc2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
newpuc2b 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
newpuckx 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pacheart 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
hangly 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
hangly2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
hangly3 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
piranhah 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
abscam 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
crush 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
crush2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
crush3 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
crush4 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
maketrax 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
maketrxb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
korosuke 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mbrush 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
paintrlr 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pacplus 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
joyman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
ctrpllrp 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
eyes 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
eyes2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
eyeszac 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mrtnt 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
gorkans 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
eggor 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
jumpshot 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
jumpshtp 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
shootbul 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
piranha 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
piranhao 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
nmouse 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
nmouseb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mspacman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mspacmnf 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mspacmat 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
woodpek 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
woodpeka 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mspacmab 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mspacmbe 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pacgal 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mspacpls 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
ponpoko 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO H
ponpokov 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO H
lizwiz 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
alibaba 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
dremshpr 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
vanvan 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
vanvank 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
vanvanb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
bwcasino 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
acitya 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
theglobp 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
sprglobp 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
sprglbpg 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
beastf 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
rocktrv2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
bigbucks 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
mschamp 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
drivfrcp 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
8bpm 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
porky 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pengo 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pengo2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pengo2u 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pengo3u 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pengo4 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
pengob 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
penta 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
jrpacmbl 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
jrpacman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
megadon 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
catapult 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
suprglob 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
theglob 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
theglob2 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
theglob3 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
igmo 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
dealer 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
revenger 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 SMP_NO V
galaxian 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galaxiaj 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galmidw 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galmidwo 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
superg 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galapx 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
moonaln 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galap1 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galap4 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
galturbo 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
swarm 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
zerotime 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
starfght 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 SMP_NO V
