22.01.2019 RGB-PI Database for FBA 0.2.97.44 (0.197) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

default 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H

10yard 1920 224 56.737589 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
10yard85 1920 224 56.737589 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
10yardj 1920 224 56.737589 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
1941 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1941j 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1941r1 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1941u 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942a 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942abl 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942b 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942c64 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942h 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1942w 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943b 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943b2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943bj 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943j 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943ja 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943jah 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943kai 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943mii 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943u 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1943ua 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1944 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
1944ad 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
1944d 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
1944j 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
1945kiii 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1945kiiin 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
1945kiiio 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xx 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxa 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxar1 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxb 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxd 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxh 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxj 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxjr1 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
19xxjr2 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
2020bb 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
2020bba 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
2020bbh 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
20pacgal 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
20pacgalr0 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
20pacgalr1 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
20pacgalr2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
20pacgalr3 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
20pacgalr4 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
25pacman 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
25pacmano 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
3countb 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3countba 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3in1semi 1920 224 57.500000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3kokushi 1920 240 58.232800 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3wonders 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3wondersb 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3wondersh 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3wondersha 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3wondersr1 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3wondersu 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3x3puzzl 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
3x3puzzla 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
4dwarrio 1920 224 60.096154 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
4enraya 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
4enrayaa 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
4in1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
4in1boot 1920 224 57.500000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
4play 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
600 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
64street 1920 224 56.191350 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
64streetj 1920 224 56.191350 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
64streetja 1920 224 56.191350 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
7ordi 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
7toitsu 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
800fath 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
88games 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
8ballact 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
8bpm 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
99lstwar 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
99lstwara 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
99lstwarb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
99lstwark 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
abcop 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
abcopd 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
abcopj 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
abcopjd 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
ablast 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
abscam 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
aburner 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
aburner2 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
aburner2g 1920 224 59.637405 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
aceattac 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
aceattaca 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
acitya 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
acrobatm 1920 224 56.180000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
