03.12.2018 RGB-PI Database for MAME 2010 (0.139) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

default 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 H

puckman 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
puckmana 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
puckmanf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
puckmanh 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacman 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacmanf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
puckmod 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacmod 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
newpuc2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
newpuc2b 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
newpuckx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacheart 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hangly 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hangly2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hangly3 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
popeyeman 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
piranhah 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
abscam 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crush 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crushbl 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crushbl2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crush2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crush3 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crush4 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
maketrax 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
maketrxb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
korosuke 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mbrush 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
paintrlr 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
crushs 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacplus 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
joyman 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ctrpllrp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
eyes 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
eyes2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
eyeszac 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mrtnt 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
gorkans 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
eggor 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jumpshot 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jumpshotp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
shootbul 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
piranha 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
piranhao 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
nmouse 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
nmouseb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mspacman 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mspacmnf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mspacmat 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
woodpeck 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
woodpeca 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mspacmab 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mspacmbe 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacgal 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mspacpls 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ponpoko 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
ponpokov 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
lizwiz 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
alibaba 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
dremshpr 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
vanvan 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
vanvank 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
vanvanb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
bwcasino 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
acitya 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
theglobp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
sprglobp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
sprglbpg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
beastf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
rocktrv2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
bigbucks 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mschamp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mschamps 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
cannonbp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
drivfrcp 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
8bpm 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
porky 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo2u 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo3u 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo4 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengob 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
penta 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jrpacmbl 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jrpacman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2010 V
megadon 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
catapult 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
suprglob 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
theglob 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
theglob2 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
theglob3 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
igmo 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
dealer 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
revenger 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxian 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxiana 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxianm 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxianmo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxiant 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
superg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galapx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
moonaln 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galap1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
