14.12.2018 RGB-PI Database for MAME 2000 (0.37b5) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

default 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000 H

pacman 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacmanjp 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacmanm 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
npacmod 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacmod 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
hangly 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
hangly2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
puckman 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacheart 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
piranha 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacplus 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mspacman 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mspacatk 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacgal 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
maketrax 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
crush 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
crush2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
crush3 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mbrush 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
paintrlr 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
eyes 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
eyes2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mrtnt 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ponpoko 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
ponpokov 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix H
lizwiz 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
theglob 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
beastf 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
jumpshot 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
dremshpr 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
vanvan 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
vanvans 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
alibaba 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pengo 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pengo2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pengo2u 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
penta 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
jrpacman 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galaxian 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galmidw 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
superg 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galaxb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galapx 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galap1 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galap4 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
galturbo 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
swarm 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
zerotime 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pisces 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
uniwars 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
gteikoku 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
spacbatt 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
warofbug 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
redufo 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
exodus 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
pacmanbl 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
devilfsg 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
zigzag 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
zigzag2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
jumpbug 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
jumpbugb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
levers 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
azurian 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
orbitron 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mooncrgx 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mooncrst 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mooncrsg 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
smooncrs 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mooncrsb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mooncrs2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
fantazia 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
eagle 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
eagle2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
moonqsr 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
checkman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
checkmaj 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
streakng 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
blkhole 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
moonal2 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
moonal2b 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
kingball 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
kingbalj 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
scramble 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
scrambls 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
scramblb 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2000_fix V
atlantis 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
atlants2 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
theend 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
theends 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
ckongs 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
froggers 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
amidars 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
triplep 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
knockout 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mariner 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
800fath 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
mars 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
devilfsh 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
newsin7 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
hotshock 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 mame2000_fix V
